 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
49	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0023-0001-0581:c:2/4 z:23/50 - Lightning 001/Mark_and_Find 001/Position010	10.527	6.867	15.272	0	136	66.943	82.151	0.933	72.290	1	3612.000	2	23	1.118	0.894	0.962
50	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0024-0001-0581:c:2/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	9.186	5.115	12.469	0	106	66.991	82.147	0.938	46.993	0	2348.000	2	24	1.213	0.825	0.961
51	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0025-0001-0581:c:2/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	7.685	7.117	15.288	0	128	66.927	82.299	0.899	54.698	0	2733.000	2	25	1.188	0.842	0.935
52	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0026-0001-0585:c:2/4 z:26/50 - Lightning 001/Mark_and_Find 001/Position010	4.803	6.567	13.816	0	97	66.711	82.881	0.810	31.542	1	1576.000	2	26	1.486	0.673	0.899
53	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0031-0001-0510:c:2/4 z:31/50 - Lightning 001/Mark_and_Find 001/Position010	15.751	9.848	17.119	0	126	93.086	72.238	0.810	155.108	1	7750.000	2	31	1.237	0.809	0.920
54	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0032-0001-0509:c:2/4 z:32/50 - Lightning 001/Mark_and_Find 001/Position010	7.966	8.053	15.103	0	114	92.894	72.193	0.742	64.145	1	3205.000	2	32	1.319	0.758	0.879
55	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0002-0001-0488:c:3/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	4.043	22.520	29.847	0	193	103.998	68.927	0.596	91.043	13	4549.000	3	2	1.546	0.647	0.792
56	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0013-0001-0367:c:3/4 z:13/50 - Lightning 001/Mark_and_Find 001/Position010	5.484	3.117	7.069	0	47	94.126	51.954	0.874	17.092	0	854.000	3	13	1.310	0.764	0.934
57	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0001-0367:c:3/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.663	2.787	6.738	0	46	94.492	51.992	0.860	10.207	0	510.000	3	14	1.302	0.768	0.899
58	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0002-0374:c:3/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.442	8.314	12.816	0	90	100.364	52.985	0.727	28.620	1	1430.000	3	14	1.957	0.511	0.884
59	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0003-0662:c:3/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	7.000	9.368	0	52	90.839	93.664	0.745	37.686	2	1883.000	3	14	1.993	0.502	0.912
60	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0001-0375:c:3/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	7.865	5.712	9.815	0	51	100.499	53.116	0.878	44.931	0	2245.000	3	15	1.241	0.806	0.941
61	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0002-0660:c:3/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	10.607	4.734	9.250	0	71	91.621	93.205	0.747	50.215	0	2509.000	3	15	1.718	0.582	0.905
62	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0001-0373:c:3/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	4.721	8.589	0	43	100.144	52.927	0.858	25.418	0	1270.000	3	16	1.288	0.776	0.920
63	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0002-0411:c:3/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	8.626	7.705	12.691	0	88	72.606	58.420	0.756	66.466	1	3321.000	3	16	1.609	0.622	0.894
64	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0003-0655:c:3/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	12.869	4.177	9.020	0	68	92.588	92.805	0.786	53.757	0	2686.000	3	16	1.384	0.722	0.913
65	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0017-0001-0411:c:3/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	16.692	4.344	9.204	0	82	73.001	58.568	0.729	72.511	0	3623.000	3	17	1.397	0.716	0.915
66	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0017-0002-0652:c:3/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	14.570	3.234	7.734	0	57	93.613	92.392	0.622	47.113	0	2354.000	3	17	1.697	0.589	0.881
67	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0018-0001-0360:c:3/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	6.825	3.607	7.514	0	64	94.985	50.888	0.847	24.617	0	1230.000	3	18	1.127	0.887	0.927
68	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0018-0002-0414:c:3/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	15.391	2.990	6.741	0	49	73.020	58.728	0.858	46.012	0	2299.000	3	18	1.314	0.761	0.944
69	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0019-0001-0359:c:3/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	7.785	3.643	8.465	0	70	95.272	50.912	0.772	28.360	0	1417.000	3	19	1.701	0.588	0.907
70	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0019-0002-0416:c:3/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	11.708	2.217	5.980	0	50	72.994	58.842	0.883	25.958	0	1297.000	3	19	1.324	0.756	0.954
71	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0020-0001-0414:c:3/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	8.226	3.336	7.202	0	41	72.726	58.617	0.865	27.439	0	1371.000	3	20	1.256	0.796	0.938
72	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0020-0002-0418:c:3/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	4.123	18.136	25.498	0	163	76.744	59.084	0.787	74.772	11	3736.000	3	20	1.357	0.737	0.900
73	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0001-0411:c:3/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	5.204	5.596	10.448	0	71	72.703	58.246	0.909	29.120	1	1455.000	3	21	1.202	0.832	0.934
74	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0002-0582:c:3/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	8.886	3.815	7.519	0	51	67.215	82.422	0.833	33.904	0	1694.000	3	21	1.202	0.832	0.919
75	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0022-0001-0581:c:3/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	11.688	3.264	7.019	0	74	67.023	82.141	0.904	38.147	0	1906.000	3	22	1.087	0.920	0.954
76	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0023-0001-0581:c:3/4 z:23/50 - Lightning 001/Mark_and_Find 001/Position010	10.527	2.278	6.004	0	61	66.943	82.151	0.933	23.977	0	1198.000	3	23	1.118	0.894	0.962
77	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0024-0001-0581:c:3/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	9.186	2.996	6.650	0	56	66.991	82.147	0.938	27.519	0	1375.000	3	24	1.213	0.825	0.961
78	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0025-0001-0581:c:3/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	7.685	3.932	8.391	0	47	66.927	82.299	0.899	30.221	0	1510.000	3	25	1.188	0.842	0.935
79	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0026-0001-0585:c:3/4 z:26/50 - Lightning 001/Mark_and_Find 001/Position010	4.803	6.371	10.257	0	50	66.711	82.881	0.810	30.601	1	1529.000	3	26	1.486	0.673	0.899
80	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0031-0001-0510:c:3/4 z:31/50 - Lightning 001/Mark_and_Find 001/Position010	15.751	3.638	7.763	0	71	93.086	72.238	0.810	57.300	0	2863.000	3	31	1.237	0.809	0.920
81	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0032-0001-0509:c:3/4 z:32/50 - Lightning 001/Mark_and_Find 001/Position010	7.966	2.764	6.056	0	33	92.894	72.193	0.742	22.015	0	1100.000	3	32	1.319	0.758	0.879
